STN_NAM_DE,Latitude,Longitude
CANBERRA MRT STATION,1.443076641,103.8297026
WOODLANDS SOUTH MRT STATION,1.427488114,103.7927299
WOODLANDS NORTH MRT STATION,1.447782173,103.7851355
GUL CIRCLE MRT STATION,1.319470901,103.6605305
WOODLANDS MRT STATION,1.436057617,103.7879388
MARINA BAY MRT STATION,1.276427355,103.8545978
OUTRAM PARK MRT STATION,1.279739707,103.8395135
HAVELOCK MRT STATION,1.28850524,103.8335858
STEVENS MRT STATION,1.320065558,103.8260244
NAPIER MRT STATION,1.306782234,103.8189568
MOUNT PLEASANT MRT STATION,1.328564555,103.8351886
SHENTON WAY MRT STATION,1.277716828,103.8503676
MARINA SOUTH MRT STATION,1.271027036,103.8624475
GARDENS BY THE BAY MRT STATION,1.278487259,103.8674547
GREAT WORLD MRT STATION,1.293316457,103.8339066
MAXWELL MRT STATION,1.280533298,103.8438837
MARINA BAY MRT STATION,1.276427355,103.8545978
ORCHARD BOULEVARD MRT STATION,1.303623073,103.8236504
ORCHARD MRT STATION,1.302422248,103.8238685
TELOK BLANGAH MRT STATION,1.270706477,103.8097616
TECK WHYE LRT STATION,1.376684679,103.7537122
TECK LEE LRT STATION,1.412770894,103.9065776
TANJONG PAGAR MRT STATION,1.276568292,103.8460067
TANAH MERAH MRT STATION,1.327187291,103.9463486
TAN KAH KEE MRT STATION,1.326392241,103.8065482
UPPER THOMSON MRT STATION,1.354416434,103.8328985
CALDECOTT MRT STATION,1.337245613,103.8401618
MAYFLOWER MRT STATION,1.371463188,103.8365678
